Gene_ID	Box2_F4_ND_3h_AF	Box2_F7_ND_3h_AF	Box2_G1_ND_3h_AF	Box2_G4_ND_3h_AF	Box3_A3_ND_3h_AF	Box3_A4_ND_3h_AF	Box3_A5_ND_3h_AF	Box3_C2_ND_3h_YF	Box3_E4_ND_3h_YM	Box3_E6_ND_3h_YF	Box4_A4_ND_3h_YF	Box4_A5_ND_3h_YF	Box4_C3_ND_3h_YF	Box2_F3_ND_24h_AF	Box2_G2_ND_24h_AF	Box2_G3_ND_24h_AF	Box2_G5_ND_24h_AF	Box2_G6_ND_24h_AF	Box2_G7_ND_24h_AF	Box3_A2_ND_24h_AF	Box3_F1_ND_24h_YM	Box4_A3_ND_24h_AM	Box4_C1_ND_24h_AM
ENSMUSG00000022757	29	24	34	20	0	6	6	3	11	13	34	48	9	5	45	4	8	5	0	4	4	11	5
ENSMUSG00000022758	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	1
ENSMUSG00000022760	20	11	18	9	0	2	6	0	14	10	10	35	4	4	9	0	4	1	0	0	7	14	4
ENSMUSG00000022761	41	23	42.05	27	2	0	5	3	18.83	25	42.99	63.18	21.02	10	23.13	2	8	4.93	0	3	7	19.62	12
ENSMUSG00000022765	163	143	135	95	6	5	24	11	41	77	88	166	56	99	62	9	60	112	6	34	84	83	54
ENSMUSG00000022768	1	1	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	1	0	0	0	1	0
ENSMUSG00000022769	67	19	18	8	2	5	7	3	4	17	30	81	13	9	9	0	10	5	0	4	7	4	3
ENSMUSG00000022770	52	54	46	28	3	3	9	3	6	7	20	63	11.29	6	32	6	17	10	1	3	5	7	3
ENSMUSG00000022771	86	66	105	53	4	3	16	12	46	36	74	139	75	34	25	7	32	26	3	5	22	62	44
ENSMUSG00000022772	4	7	10	4	0	0	1	0	0	4	1	1	3	1	6	0	2	3	0	2	0	0	0
ENSMUSG00000022773	1	1	0	2	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0
ENSMUSG00000022774	33	14	16	7	2	0	2	4	3	9	11	24	9	3	8	0	4	1	0	1	1	3	0
ENSMUSG00000022779	28	23	35	37	0	0	1	8	4	11	28	31	10	14	23	1	4	3	0	0	5	15	7
ENSMUSG00000022781	173	148.27	225	77	5.01	2	13	4	28.1	37.06	90	179.96	41.35	40.95	50	6	20	13	0	7	13	57.14	6.01
ENSMUSG00000022787	8	7	10	4	1	1	4	2	4	2	11	19	10	5	10	0	3	4	0	0	2	4	1
ENSMUSG00000022788	60.89	57.74	73.94	32.03	1	3	9.11	1.96	10.98	16.32	46.05	69.24	9.3	15.19	34.11	6.39	15.41	16.05	1	2	8.39	22.65	10.64
ENSMUSG00000022789	74	43	48	52	8	2	27	1	15	17	31	78	17	25	33	7	19	24	4	1	6	19	12
ENSMUSG00000022791	46	44	61	36	0	0	3	1	21	10	38	73	19	23	35	3	4	13	0	3	15	19	14
ENSMUSG00000022792	8	6	9	4	0	0	5	2	4	5	6	19	4	2	4	0	3	1	0	0	0	2	0
ENSMUSG00000022793	3	0	1	0	0	0	0	0	0	1	3	6	1	1	3	0	1	0	1	0	0	1	0
ENSMUSG00000022797	49	24	37	52	72	9	57	6	15	40	53	58	33	24	65	4	37	342	7	4	36	10	44
ENSMUSG00000022799	56	50	94	45	0	3	11	2	13.99	20	55	66.35	23.28	40	51	4	25	13	1	2	26	63	30.5
ENSMUSG00000022800	15	14	28	12	1	2	13	1	4	9	12	32	7	8	32	1	4	7	1	1	1	2	1
ENSMUSG00000022801	51	22	23	24	0	1	3	0	0	6	7	17	4	5	34	1	2	1	0	1	0	3	0
ENSMUSG00000022802	1	0	3	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	1	0	0	0
ENSMUSG00000022803	0	4	2	6	0	0	4	1	0	1	1	2	1	3	2	0	4	4	0	0	0	6	9
ENSMUSG00000022805	0	0	1.02	0.86	0	0	0	0.99	0	0.96	1	3.19	0	0	0	0	0	0	0	0	0	0	2.15
ENSMUSG00000022807	39	21	38	11	0	1	1	1	1	3	20	30	13	4	34	2	3	2	0	0	3	6	6
ENSMUSG00000022808	69	49	72	41	3	0	12	6	6	19	36	69	16	19	62	2	18	21	3	4	6	27	3
ENSMUSG00000022811	45	39	44	27	5	2	9	4	5	9	17	46	16	16	19	5	6	10	1	1	7	10	2
ENSMUSG00000022812	69	52	76	53	0	1	10	4	30	39	93	124	34	31	81	8	28	8	1	7	35	104	77
ENSMUSG00000022814	21	7	12	7	1	1	3	0	11	10	25	36	11	10	8	0	5	2	0	2	4	6	4
ENSMUSG00000022816	9.91	10.74	6.7	3	0	0	0	0	4	3	2.02	10.36	4	2	8.09	1	0	1.87	0	1	2	3.17	2.99
ENSMUSG00000022817	1113	960	1059	862	6	12	62	91	729	602	1190	2282	596	1103	753	164	489	250	33	176	1327	3136	1509
ENSMUSG00000022818	11	4	4	7	0	0	0	0	2	3	3	9	3	1	0	0	2	1	0	0	0	0	0
ENSMUSG00000022820	10.58	6.3	2.75	5.38	2.74	5.35	13.23	0	1	4.01	11.45	15.06	7.85	1	2.7	0	5.43	10.68	1	1.29	3.65	6.77	15.12
ENSMUSG00000022822	42	31	34	30	1	1	6	5	4	12	33	49	15	28	35	9	23	7	1	8	22	42	32
ENSMUSG00000022824	38	30	28	30	2	2	13	8	15	12	62	70	14	13	21	4	36	16	2	4	25	47	45
ENSMUSG00000022827	2	0	3	4	0	0	1	0	0	2	3	6	3	0	4	0	0	1	0	0	0	3	1
ENSMUSG00000022828	8	6	13	7	0	0	2	0	0	1	11	18	7	3	4	0	0	2	0	0	0	1	3
ENSMUSG00000022831	493	389	747	229	7	0	16	26	273	276	505	721	309	180	208	24	70	45	9	25	241	576	265
ENSMUSG00000022833	1	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000022836	692	492	554	543	10	9	58	33	250	245	671	923	215	424	401	52	135	72	11	44	319	878	571
ENSMUSG00000022837	3	8	2	4	0	1	2	0	1	1	2	5	3	2	5	0	1	0	0	0	0	0	2
ENSMUSG00000022838	2.01	1	1	0	0	0	0	0	1	0	3.03	1	3	1	1	0	0	0	0	0	1	2	0
ENSMUSG00000022840	15	7	10	14	0	0	2	3	8	8	18	47	6	12	9	4	6	3	1	2	14	30	15
ENSMUSG00000022841	1763.19	1370	1750	1403	48	38	230.01	156	1394.19	1341	2277.26	3220	1319	1480.06	1276	201	932	1012.9	66	331	2054	3969	2643.67
ENSMUSG00000022842	4	2	3	1	1	0	3	0	6	3	10	15	5	1	5	0	4	2	0	2	2	2	2
ENSMUSG00000022843	3	0	2	0	0	0	0	1	2	0	3	3	1	0	10	1	1	1	0	0	1	3	0
ENSMUSG00000022844	1	1	3	0	0	0	0	0	0	0	1	4	0	0	1	0	1	0	0	0	0	0	0
ENSMUSG00000022848	20	13	24	20	1	0	2	2	2	9	17	30	13	10	51	1	8	4	1	1	4	9	2
ENSMUSG00000022849	19	10	9	6	0	0	3	2	5	4	11	12	11	2	1	2	2	9	0	0	2	4	4
ENSMUSG00000022853	2	0	2	3	0	1	1	1	0	0	5	4	0	2	3	0	1	0	0	0	1	1	2
ENSMUSG00000022855	46	42	69	25	4	0	18	0	4	31	34	63	22	11	37	1	12	8	0	0	3	8	3
